dataset,n_test,ms_per_prefix,wall_s_min,wall_s_all
UQ_Sepsis,28644,0.3228,9.247,"['9.544', '9.247', '9.485']"
UQ_BPIC13I,121352,0.1475,17.902,"['17.902', '17.984', '18.098']"
UQ_HelpDesk,5068,0.0615,0.312,"['0.317', '0.312', '0.330']"
UQ_BPIC20DD,18261,0.0691,1.262,"['1.315', '1.262', '1.283']"
UQ_BPIC20RFP,11458,0.0672,0.770,"['0.770', '0.828', '0.799']"
UQ_BPIC20PTC,13295,0.0626,0.832,"['0.839', '0.839', '0.832']"
UQ_BPIC20ID,89485,0.0672,6.016,"['6.071', '6.158', '6.016']"
UQ_BPIC20TPD,136717,0.1782,24.362,"['24.362', '29.521', '28.435']"
UQ_BPIC15_1,246321,0.1764,43.439,"['44.403', '44.403', '43.439']"
UQ_BPIC12,701877,0.2302,161.563,"['186.290', '161.563', '174.052']"
