dataset,model,epochs_trained,best_epoch,wall_min,time_per_epoch_min,source
UQ_BPIC13I,SUTRAN_NDA_results,47,16,NA,NA,pruned_no_span
UQ_BPIC13I,ED_LSTM_results,98,9,NA,NA,pruned_no_span
UQ_BPIC20TPD,SUTRAN_NDA_results,95,9,NA,NA,pruned_no_span
UQ_BPIC20TPD,ED_LSTM_results,61,8,NA,NA,pruned_no_span
UQ_BPIC15_1,SUTRAN_NDA_results,144,24,197.35,1.370,ckpt_mtime_span
UQ_BPIC15_1,ED_LSTM_results,169,45,72.92,0.431,ckpt_mtime_span
UQ_BPIC20DD,SUTRAN_NDA_results,107,24,44.27,0.414,ckpt_mtime_span
UQ_BPIC20DD,ED_LSTM_results,61,0,5.72,0.094,ckpt_mtime_span
UQ_BPIC12,SUTRAN_NDA_results,58,15,239.40,4.128,ckpt_mtime_span
UQ_BPIC12,ED_LSTM_results,140,23,179.93,1.285,ckpt_mtime_span
UQ_BPIC20PTC,SUTRAN_NDA_results,75,3,9.10,0.121,ckpt_mtime_span
UQ_BPIC20PTC,ED_LSTM_results,95,39,3.05,0.032,ckpt_mtime_span
UQ_BPIC20ID,SUTRAN_NDA_results,66,17,31.45,0.477,ckpt_mtime_span
UQ_BPIC20ID,ED_LSTM_results,50,5,5.25,0.105,ckpt_mtime_span
UQ_BPIC20RFP,SUTRAN_NDA_results,77,53,22.55,0.293,ckpt_mtime_span
UQ_BPIC20RFP,ED_LSTM_results,50,1,2.83,0.057,ckpt_mtime_span
UQ_Sepsis,SUTRAN_NDA_results,171,40,27.08,0.158,ckpt_mtime_span
UQ_Sepsis,ED_LSTM_results,68,20,3.28,0.048,ckpt_mtime_span
UQ_HelpDesk,SUTRAN_NDA_results,47,10,8.22,0.175,ckpt_mtime_span
UQ_HelpDesk,ED_LSTM_results,71,47,2.27,0.032,ckpt_mtime_span
