dataset,train_min_ED-LSTM,train_min_Hawkes,train_min_SuTraN,train_min_THP-baseline,train_min_THP-mixture,infer_ms_ED-LSTM,infer_ms_SuTraN,infer_ms_THP-B,infer_ms_THP-B-act,infer_ms_THP-M
Sepsis,3.28,0.972,27.08,17.62,5.93,0.6294,1.4039,0.0179,0.0172,0.0174
BPIC13I,25.53,0.499,41.92,15.65,4.75,0.3675,0.9204,0.0176,0.0157,0.0156
BPIC12,179.93,15.887,239.4,401.24,82.7,1.6499,4.9878,0.0089,0.0087,0.0090
HelpDesk,2.27,1.323,8.22,14.7,15.39,0.1289,0.2513,,0.0731,0.0694
BPIC20DD,5.72,2.275,44.27,18.02,14.85,0.0921,0.1691,0.0474,0.0480,0.0483
BPIC20RFP,2.83,1.727,22.55,16.03,13.19,0.1085,0.2202,0.0552,0.0546,0.0544
BPIC20PTC,3.05,0.777,9.1,5.07,7.49,0.1649,0.3436,0.0373,0.0367,0.0398
BPIC20ID,5.25,2.118,31.45,15.31,14.41,0.1672,0.3655,0.0224,0.0226,0.0227
BPIC20TPD,15.89,3.731,84.74,27.0,26.01,0.3209,0.7006,0.0189,0.0195,0.0199
BPIC15-1,72.92,3.842,197.35,38.56,23.73,2.4120,6.2761,0.0075,0.0074,0.0075
