dataset,stage,cases,events,act,avg_len,med_dt_s,tie_pct,avg_dur_d
UQ_BPIC12,raw,13087,262200,24,20.0,47.9,5.6,8.6
UQ_BPIC12,dedup,13087,262200,24,20.0,47.9,5.6,8.6
UQ_BPIC12,retained,10648,197374,24,18.5,43.2,5.8,7.5
UQ_BPIC13I,raw,7554,65533,4,8.7,607.0,0.0,12.1
UQ_BPIC13I,dedup,7554,65533,4,8.7,607.0,0.0,12.1
UQ_BPIC13I,retained,7327,61307,4,8.4,583.0,0.0,8.4
UQ_BPIC15_1,raw,1199,52217,398,43.6,1.0,46.2,95.7
UQ_BPIC15_1,dedup,1199,52195,398,43.5,1.0,46.1,95.7
UQ_BPIC15_1,retained,954,40930,361,42.9,2.0,39.0,77.0
UQ_BPIC20DD,raw,10500,56437,17,5.4,87844.0,0.0,11.5
UQ_BPIC20DD,dedup,10500,56437,17,5.4,87844.0,0.0,11.5
UQ_BPIC20DD,retained,10144,54300,17,5.4,87119.0,0.0,9.8
UQ_BPIC20ID,raw,6449,72151,34,11.2,172425.5,0.6,86.5
UQ_BPIC20ID,dedup,6449,72136,34,11.2,172555.0,0.6,86.5
UQ_BPIC20ID,retained,5776,65186,34,11.3,172800.0,0.5,74.9
UQ_BPIC20PTC,raw,2099,18246,29,8.7,80851.0,0.4,36.8
UQ_BPIC20PTC,dedup,2099,18246,29,8.7,80851.0,0.4,36.8
UQ_BPIC20PTC,retained,1804,15796,29,8.8,79586.0,0.4,31.8
UQ_BPIC20RFP,raw,6886,36796,19,5.3,95522.0,0.1,12.0
UQ_BPIC20RFP,dedup,6886,36796,19,5.3,95522.0,0.1,12.0
UQ_BPIC20RFP,retained,6658,35265,18,5.3,93150.0,0.1,10.1
UQ_BPIC20TPD,raw,7065,86581,51,12.3,150030.0,1.4,87.4
UQ_BPIC20TPD,dedup,7065,86040,51,12.2,154567.0,0.7,87.4
UQ_BPIC20TPD,retained,6805,83382,51,12.3,153367.0,0.7,81.0
UQ_HelpDesk,raw,4580,21348,14,4.7,283303.0,0.8,40.9
UQ_HelpDesk,dedup,4580,21221,14,4.6,321608.0,0.0,40.9
UQ_HelpDesk,retained,4526,20947,14,4.6,317436.0,0.0,40.9
UQ_Sepsis,raw,1049,15214,16,14.5,392.0,31.4,28.5
UQ_Sepsis,dedup,1049,15207,16,14.5,394.0,31.4,28.5
UQ_Sepsis,retained,859,12405,16,14.4,386.0,31.6,17.2
