dataset,model,wall_s,n_prefixes,ms_per_prefix
UQ_HelpDesk,THP-M,0.563,7553,0.0745
UQ_HelpDesk,SuTraN,1.150,4577,0.2513
UQ_HelpDesk,ED-LSTM,0.590,4577,0.1289
UQ_Sepsis,THP-M,0.524,30767,0.0170
UQ_Sepsis,SuTraN,3.987,2840,1.4039
UQ_BPIC13I,THP-M,2.301,134019,0.0172
UQ_Sepsis,ED-LSTM,1.788,2840,0.6294
UQ_BPIC20DD,THP-M,1.523,25460,0.0598
UQ_BPIC20RFP,THP-M,0.841,16069,0.0523
UQ_BPIC20PTC,THP-M,0.560,16203,0.0346
UQ_BPIC20ID,THP-M,2.789,103854,0.0269
UQ_BPIC13I,SuTraN,17.688,19218,0.9204
UQ_BPIC20TPD,THP-M,3.302,154466,0.0214
UQ_BPIC13I,ED-LSTM,7.063,19218,0.3675
UQ_BPIC20DD,SuTraN,2.020,11944,0.1691
UQ_BPIC20DD,ED-LSTM,1.100,11944,0.0921
UQ_BPIC20RFP,SuTraN,1.694,7696,0.2202
UQ_BPIC20RFP,ED-LSTM,0.835,7696,0.1085
UQ_BPIC20PTC,SuTraN,1.478,4302,0.3436
UQ_BPIC20PTC,ED-LSTM,0.710,4302,0.1649
UQ_BPIC20ID,SuTraN,8.255,22587,0.3655
UQ_BPIC20ID,ED-LSTM,3.776,22587,0.1672
UQ_BPIC12,THP-M,7.973,739525,0.0108
UQ_BPIC15_1,THP-M,1.970,255536,0.0077
UQ_BPIC20TPD,SuTraN,15.878,22662,0.7006
UQ_BPIC20TPD,ED-LSTM,7.273,22662,0.3209
UQ_BPIC12,SuTraN,278.067,55749,4.9878
UQ_BPIC12,ED-LSTM,91.979,55749,1.6499
UQ_BPIC15_1,SuTraN,74.139,11813,6.2761
UQ_BPIC15_1,ED-LSTM,28.492,11813,2.4120
UQ_HelpDesk,THP-B,0.552,7553,0.0731
UQ_HelpDesk,THP-M,0.524,7553,0.0694
UQ_Sepsis,THP-B,0.530,30767,0.0172
UQ_Sepsis,THP-M,0.534,30767,0.0174
UQ_BPIC13I,THP-B,2.107,134019,0.0157
UQ_BPIC13I,THP-M,2.084,134019,0.0156
UQ_BPIC20DD,THP-B,1.223,25460,0.0480
UQ_BPIC20DD,THP-M,1.230,25460,0.0483
UQ_BPIC20RFP,THP-B,0.877,16069,0.0546
UQ_BPIC20RFP,THP-M,0.875,16069,0.0544
UQ_BPIC20PTC,THP-B,0.595,16203,0.0367
UQ_BPIC20PTC,THP-M,0.645,16203,0.0398
UQ_BPIC20ID,THP-B,2.347,103854,0.0226
UQ_BPIC20ID,THP-M,2.354,103854,0.0227
UQ_BPIC20TPD,THP-B,3.011,154466,0.0195
UQ_BPIC20TPD,THP-M,3.075,154466,0.0199
UQ_BPIC12,THP-B,6.422,739525,0.0087
UQ_BPIC12,THP-M,6.682,739525,0.0090
UQ_BPIC15_1,THP-B,1.893,255536,0.0074
UQ_BPIC15_1,THP-M,1.923,255536,0.0075
