dataset,act_THP-B,mae_THP-B,act_THP-M,mae_THP-M,act_H-uni,mae_H-uni,act_H-mk,mae_H-mk,act_SuTraN,mae_SuTraN,act_ED-LSTM,mae_ED-LSTM
Sepsis,62.310267494393344,0.274425454423903,61.825982383722824,0.25862332233395136,,0.459884932776858,50.58341729775408,0.4598358638780394,59.859154929577464,1.150247939413265,62.46478873239436,1.1010712924800878
BPIC13I,61.93300949865318,0.748171965725337,67.00020146397154,0.7685690014009867,,0.8714550975130527,67.89410456726284,0.8595294540608658,48.28285981891976,0.9161705865777438,50.23415547923822,0.8683380095635876
BPIC12,86.09201852540482,0.2963540156341605,87.30239004766574,0.28547203082964095,,0.5616784970332988,67.02302153409283,0.575563115783196,77.33412258515848,0.41028143542801315,84.51810794812464,0.3429555704840015
HelpDesk,55.99099695485238,6.65995315042818,60.267443399973516,6.826163722393988,,7.570908209131783,44.366476896597376,7.261539152978435,73.82564998907581,4.922852487928071,73.82564998907581,4.612155579693535
BPIC20DD,80.25530243519245,1.3765454809939692,71.06441476826394,1.400459391273691,,1.8637708133788007,59.819324430479185,1.6788130984798846,91.10013395847287,1.3137234470775878,88.88981915606162,1.3457813858739853
BPIC20RFP,82.02128321613044,1.6103287723254254,80.7704275312714,1.596261210305421,,2.095918918678091,57.20331072250918,1.8767838134982178,89.78690228690228,1.553006732595211,87.18814968814968,1.554259387555116
BPIC20PTC,78.16453743133988,3.6371720248265067,77.54736777140036,3.8432072331378975,,5.076195587046959,48.26266740727026,4.64486036606188,80.8693630869363,2.1337776122992906,87.40120874012088,2.0396380862056755
BPIC20ID,80.09994800392859,6.840406081504626,81.21208619793171,6.53706209813621,,9.807320643643047,48.759797407899555,9.123077483644447,90.31301190950546,3.266718966060016,89.71975029884447,3.3187532158317445
BPIC20TPD,75.95522639286315,4.90930798762888,69.66516903396217,5.1477575966107905,,7.104280630852798,42.27273315810599,6.63625544999141,83.9599329273674,4.860901839520397,84.09231312329008,4.827043627843261
BPIC15-1,6.567372111952914,2.163808881512579,8.86685242001127,2.2079365117396716,,2.214271171839742,0.34046083526391585,1.8079272577703553,16.50723778887666,1.5345139317141905,10.556166934732921,1.6010680416100955
