table,dataset,column,value
datasets,UQ_Sepsis,cases,1049
datasets,UQ_Sepsis,events,15214
datasets,UQ_Sepsis,act,16
datasets,UQ_Sepsis,avg_len,14.5
datasets,UQ_Sepsis,med_dt_s,390
datasets,UQ_Sepsis,tie_pct,31.4
datasets,UQ_Sepsis,avg_dur_d,28.5
datasets,UQ_BPIC13I,cases,7554
datasets,UQ_BPIC13I,events,65533
datasets,UQ_BPIC13I,act,4
datasets,UQ_BPIC13I,avg_len,8.7
datasets,UQ_BPIC13I,med_dt_s,606
datasets,UQ_BPIC13I,tie_pct,0
datasets,UQ_BPIC13I,avg_dur_d,12.1
datasets,UQ_BPIC12,cases,13087
datasets,UQ_BPIC12,events,262200
datasets,UQ_BPIC12,act,24
datasets,UQ_BPIC12,avg_len,20
datasets,UQ_BPIC12,med_dt_s,48
datasets,UQ_BPIC12,tie_pct,5.6
datasets,UQ_BPIC12,avg_dur_d,8.6
datasets,UQ_HelpDesk,cases,4580
datasets,UQ_HelpDesk,events,21348
datasets,UQ_HelpDesk,act,14
datasets,UQ_HelpDesk,avg_len,4.7
datasets,UQ_HelpDesk,med_dt_s,283392
datasets,UQ_HelpDesk,tie_pct,0.8
datasets,UQ_HelpDesk,avg_dur_d,40.9
datasets,UQ_BPIC20DD,cases,10500
datasets,UQ_BPIC20DD,events,56437
datasets,UQ_BPIC20DD,act,17
datasets,UQ_BPIC20DD,avg_len,5.4
datasets,UQ_BPIC20DD,med_dt_s,88128
datasets,UQ_BPIC20DD,tie_pct,0
datasets,UQ_BPIC20DD,avg_dur_d,11.5
datasets,UQ_BPIC20RFP,cases,6886
datasets,UQ_BPIC20RFP,events,36796
datasets,UQ_BPIC20RFP,act,19
datasets,UQ_BPIC20RFP,avg_len,5.3
datasets,UQ_BPIC20RFP,med_dt_s,95904.00000000001
datasets,UQ_BPIC20RFP,tie_pct,0.1
datasets,UQ_BPIC20RFP,avg_dur_d,12
datasets,UQ_BPIC20PTC,cases,2099
datasets,UQ_BPIC20PTC,events,18246
datasets,UQ_BPIC20PTC,act,29
datasets,UQ_BPIC20PTC,avg_len,8.7
datasets,UQ_BPIC20PTC,med_dt_s,81000
datasets,UQ_BPIC20PTC,tie_pct,0.4
datasets,UQ_BPIC20PTC,avg_dur_d,36.8
datasets,UQ_BPIC20ID,cases,6449
datasets,UQ_BPIC20ID,events,72151
datasets,UQ_BPIC20ID,act,34
datasets,UQ_BPIC20ID,avg_len,11.2
datasets,UQ_BPIC20ID,med_dt_s,172800
datasets,UQ_BPIC20ID,tie_pct,0.6
datasets,UQ_BPIC20ID,avg_dur_d,86.5
datasets,UQ_BPIC20TPD,cases,7065
datasets,UQ_BPIC20TPD,events,86581
datasets,UQ_BPIC20TPD,act,51
datasets,UQ_BPIC20TPD,avg_len,12.3
datasets,UQ_BPIC20TPD,med_dt_s,150336
datasets,UQ_BPIC20TPD,tie_pct,1.4
datasets,UQ_BPIC20TPD,avg_dur_d,87.4
datasets,UQ_BPIC15_1,cases,1199
datasets,UQ_BPIC15_1,events,52217
datasets,UQ_BPIC15_1,act,398
datasets,UQ_BPIC15_1,avg_len,43.6
datasets,UQ_BPIC15_1,med_dt_s,1
datasets,UQ_BPIC15_1,tie_pct,46.2
datasets,UQ_BPIC15_1,avg_dur_d,95.7
nextevent,UQ_Sepsis,act_THP-B,62.3
nextevent,UQ_Sepsis,act_THP-M,61.8
nextevent,UQ_Sepsis,act_SuTraN,59.9
nextevent,UQ_Sepsis,act_ED-LSTM,62.5
nextevent,UQ_Sepsis,act_H-mk,50.6
nextevent,UQ_Sepsis,mae_THP-B,0.27
nextevent,UQ_Sepsis,mae_THP-M,0.26
nextevent,UQ_Sepsis,mae_SuTraN,1.15
nextevent,UQ_Sepsis,mae_ED-LSTM,1.1
nextevent,UQ_Sepsis,mae_H-uni,0.46
nextevent,UQ_Sepsis,mae_H-mk,0.46
nextevent,UQ_BPIC13I,act_THP-B,61.9
nextevent,UQ_BPIC13I,act_THP-M,67
nextevent,UQ_BPIC13I,act_SuTraN,48.3
nextevent,UQ_BPIC13I,act_ED-LSTM,50.2
nextevent,UQ_BPIC13I,act_H-mk,67.9
nextevent,UQ_BPIC13I,mae_THP-B,0.75
nextevent,UQ_BPIC13I,mae_THP-M,0.77
nextevent,UQ_BPIC13I,mae_SuTraN,0.92
nextevent,UQ_BPIC13I,mae_ED-LSTM,0.87
nextevent,UQ_BPIC13I,mae_H-uni,0.87
nextevent,UQ_BPIC13I,mae_H-mk,0.86
nextevent,UQ_BPIC12,act_THP-B,86.1
nextevent,UQ_BPIC12,act_THP-M,87.3
nextevent,UQ_BPIC12,act_SuTraN,77.3
nextevent,UQ_BPIC12,act_ED-LSTM,84.5
nextevent,UQ_BPIC12,act_H-mk,67
nextevent,UQ_BPIC12,mae_THP-B,0.3
nextevent,UQ_BPIC12,mae_THP-M,0.29
nextevent,UQ_BPIC12,mae_SuTraN,0.41
nextevent,UQ_BPIC12,mae_ED-LSTM,0.34
nextevent,UQ_BPIC12,mae_H-uni,0.56
nextevent,UQ_BPIC12,mae_H-mk,0.58
nextevent,UQ_HelpDesk,act_THP-B,56
nextevent,UQ_HelpDesk,act_THP-M,60.3
nextevent,UQ_HelpDesk,act_SuTraN,73.8
nextevent,UQ_HelpDesk,act_ED-LSTM,73.8
nextevent,UQ_HelpDesk,act_H-mk,44.4
nextevent,UQ_HelpDesk,mae_THP-B,6.66
nextevent,UQ_HelpDesk,mae_THP-M,6.83
nextevent,UQ_HelpDesk,mae_SuTraN,4.92
nextevent,UQ_HelpDesk,mae_ED-LSTM,4.61
nextevent,UQ_HelpDesk,mae_H-uni,7.57
nextevent,UQ_HelpDesk,mae_H-mk,7.26
nextevent,UQ_BPIC20DD,act_THP-B,80.3
nextevent,UQ_BPIC20DD,act_THP-M,71.1
nextevent,UQ_BPIC20DD,act_SuTraN,91.1
nextevent,UQ_BPIC20DD,act_ED-LSTM,88.9
nextevent,UQ_BPIC20DD,act_H-mk,59.8
nextevent,UQ_BPIC20DD,mae_THP-B,1.38
nextevent,UQ_BPIC20DD,mae_THP-M,1.4
nextevent,UQ_BPIC20DD,mae_SuTraN,1.31
nextevent,UQ_BPIC20DD,mae_ED-LSTM,1.35
nextevent,UQ_BPIC20DD,mae_H-uni,1.86
nextevent,UQ_BPIC20DD,mae_H-mk,1.68
nextevent,UQ_BPIC20RFP,act_THP-B,82
nextevent,UQ_BPIC20RFP,act_THP-M,80.8
nextevent,UQ_BPIC20RFP,act_SuTraN,89.8
nextevent,UQ_BPIC20RFP,act_ED-LSTM,87.2
nextevent,UQ_BPIC20RFP,act_H-mk,57.2
nextevent,UQ_BPIC20RFP,mae_THP-B,1.61
nextevent,UQ_BPIC20RFP,mae_THP-M,1.6
nextevent,UQ_BPIC20RFP,mae_SuTraN,1.55
nextevent,UQ_BPIC20RFP,mae_ED-LSTM,1.55
nextevent,UQ_BPIC20RFP,mae_H-uni,2.1
nextevent,UQ_BPIC20RFP,mae_H-mk,1.88
nextevent,UQ_BPIC20PTC,act_THP-B,78.2
nextevent,UQ_BPIC20PTC,act_THP-M,77.5
nextevent,UQ_BPIC20PTC,act_SuTraN,80.9
nextevent,UQ_BPIC20PTC,act_ED-LSTM,87.4
nextevent,UQ_BPIC20PTC,act_H-mk,48.3
