dataset,thp_bl_rt,thp_mix_rt,sutran_rt,edlstm_rt,hawkes_uni_rt,hawkes_mk_rt,paper_best,paper_best_method
UQ_HelpDesk,8.81707,14.2717,4.217026095920139,3.7713690863715277,20.39896,19.67536,9.45,HR
UQ_Sepsis,27.41572,23.71822,14.82874484592014,15.076173231336806,23.72962,24.51068,15.32,HR
UQ_BPIC13I,8.57317,6.72637,3.2035257975260416,3.4749684651692707,7.63717,8.01303,3.06,BE+H
UQ_BPIC20DD,3.55605,3.84799,3.2504957411024304,3.6065382215711805,5.61821,5.30909,4.12,LA+I
UQ_BPIC20RFP,4.88713,5.60516,3.972145589192708,4.330116102430556,7.3913,7.01439,5.09,DA+H
UQ_BPIC20PTC,12.02946,15.39403,6.179977756076389,6.111812337239583,16.64289,16.52051,7.73,LA+I
UQ_BPIC20ID,22.04626,25.86808,10.130202907986112,10.101904975043404,31.54495,31.32887,14.08,BE+H
UQ_BPIC20TPD,25.61405,28.20998,17.595357259114582,18.260245768229165,32.41976,33.00935,25.02,DA+H
UQ_BPIC12,6.76252,8.29501,4.687589857313368,7.84545423719618,9.19294,9.46949,5.86,HR
UQ_BPIC15_1,51.42281,58.64427,28.320404730902776,31.39018283420139,49.32761,63.98528,24.71,DE
