dataset,rtmae_THP-B,rtmae_THP-M,rtmae_SuTraN,rtmae_ED-LSTM,rtmae_UQ*,ma_THP-M,mpiw_THP-M,aurg_THP-M
Sepsis,27.41572,9.46041215196403,14.82874484592014,15.076173231336806,15.32,0.03818014600671345,14.051302840904041,6.627038925572842
BPIC13I,8.57317,5.548515995779499,3.2035257975260416,3.4749684651692707,3.06,0.035468512266578246,6.999279276530441,1.9930194591884764
BPIC12,6.76252,3.48179980478536,4.687589857313368,7.84545423719618,5.86,0.041918404780192584,73.84856081755842,1.8032098118722903
HelpDesk,8.81707,10.860072570498232,4.217026095920139,3.7713690863715277,9.45,0.05416112425970037,26.79758516680597,2.82836225377023
BPIC20DD,3.55605,3.2076228472331696,3.2504957411024304,3.6065382215711805,4.12,0.08415172458234656,8.156583786889524,1.0139364709287748
BPIC20RFP,4.88713,3.8392936954519548,3.972145589192708,4.330116102430556,5.09,0.03318335581284943,38.669377271383865,1.1407434923469784
BPIC20PTC,12.02946,12.651995266551328,6.179977756076389,6.111812337239583,7.73,0.03752869475266565,65.06536473403087,6.588923630435504
BPIC20ID,22.04626,22.128458288297132,10.130202907986112,10.101904975043404,14.08,0.026662527211374673,60.134300715328095,11.285477571454722
BPIC20TPD,25.61405,22.5563616202675,17.595357259114582,18.260245768229165,25.02,0.06055459623882452,34.89287834167711,10.48000350311065
BPIC15-1,51.42281,30.494381722129376,28.320404730902776,31.39018283420139,24.71,0.025767079938359635,3276.688301843383,16.56047677880452
