dataset,THP-baseline_epochs,THP-baseline_wall_min,THP-baseline_min_per_epoch,THP-baseline_src,THP-mixture_epochs,THP-mixture_wall_min,THP-mixture_min_per_epoch,THP-mixture_src,SuTraN_epochs,SuTraN_wall_min,SuTraN_min_per_epoch,SuTraN_src,ED-LSTM_epochs,ED-LSTM_wall_min,ED-LSTM_min_per_epoch,ED-LSTM_src,Hawkes_epochs,Hawkes_wall_min,Hawkes_min_per_epoch,Hawkes_src
UQ_HelpDesk,86,14.7,0.171,logs_baseline_act_v2_UQ_HelpDesk.log,101,15.39,0.152,logs_mixture_v2_UQ_HelpDesk.log,47,8.22,0.175,ckpt_mtime_span,71,2.27,0.032,ckpt_mtime_span,1,1.323,1.323,logs_hawkes_v2_UQ_HelpDesk.log
UQ_Sepsis,98,17.62,0.18,logs_baseline_act_v2_UQ_Sepsis.log,34,5.93,0.174,logs_mixture_v2_UQ_Sepsis.log,171,27.08,0.158,ckpt_mtime_span,68,3.28,0.048,ckpt_mtime_span,1,0.972,0.972,logs_hawkes_v2_UQ_Sepsis.log
UQ_BPIC13I,130,15.65,0.12,logs_baseline_act_v2_UQ_BPIC13I.log,43,4.75,0.11,logs_mixture_v2_UQ_BPIC13I.log,47,41.92,0.892,EST(ep*rate),98,25.53,0.261,EST(ep*rate),1,0.499,0.499,logs_hawkes_v2_UQ_BPIC13I.log
UQ_BPIC20DD,40,18.02,0.451,logs_baseline_act_v2_UQ_BPIC20DD.log,36,14.85,0.412,logs_mixture_v2_UQ_BPIC20DD.log,107,44.27,0.414,ckpt_mtime_span,61,5.72,0.094,ckpt_mtime_span,1,2.275,2.275,logs_hawkes_v2_UQ_BPIC20DD.log
UQ_BPIC20RFP,55,16.03,0.291,logs_baseline_act_v2_UQ_BPIC20RFP.log,50,13.19,0.264,logs_mixture_v2_UQ_BPIC20RFP.log,77,22.55,0.293,ckpt_mtime_span,50,2.83,0.057,ckpt_mtime_span,1,1.727,1.727,logs_hawkes_v2_UQ_BPIC20RFP.log
UQ_BPIC20PTC,33,5.07,0.154,logs_baseline_act_v2_UQ_BPIC20PTC.log,53,7.49,0.141,logs_mixture_v2_UQ_BPIC20PTC.log,75,9.1,0.121,ckpt_mtime_span,95,3.05,0.032,ckpt_mtime_span,1,0.777,0.777,logs_hawkes_v2_UQ_BPIC20PTC.log
UQ_BPIC20ID,29,15.31,0.528,logs_baseline_act_v2_UQ_BPIC20ID.log,30,14.41,0.48,logs_mixture_v2_UQ_BPIC20ID.log,66,31.45,0.477,ckpt_mtime_span,50,5.25,0.105,ckpt_mtime_span,1,2.118,2.118,logs_hawkes_v2_UQ_BPIC20ID.log
UQ_BPIC20TPD,32,27.0,0.844,logs_baseline_act_v2_UQ_BPIC20TPD.log,33,26.01,0.788,logs_mixture_v2_UQ_BPIC20TPD.log,95,84.74,0.892,EST(ep*rate),61,15.89,0.26,EST(ep*rate),1,3.731,3.731,logs_hawkes_v2_UQ_BPIC20TPD.log
UQ_BPIC12,136,401.24,2.95,logs_baseline_act_v2_UQ_BPIC12.log,30,82.7,2.757,logs_mixture_v2_UQ_BPIC12.log,58,239.4,4.128,ckpt_mtime_span,140,179.93,1.285,ckpt_mtime_span,1,15.887,15.887,logs_hawkes_v2_UQ_BPIC12.log
UQ_BPIC15_1,57,38.56,0.676,logs_baseline_act_v2_UQ_BPIC15_1.log,41,23.73,0.579,logs_mixture_v2_UQ_BPIC15_1.log,144,197.35,1.37,ckpt_mtime_span,169,72.92,0.431,ckpt_mtime_span,1,3.842,3.842,logs_hawkes_v2_UQ_BPIC15_1.log
